,rateCode,price,Location,Instance Family,vCPU,Instance Type,Memory,Storage,Network Performance,plc:OperatingSystem,plc:InstanceFamily,Operating System,Pre Installed S/W,License Model
319,J5JY2PJ3F8EP4BYY.JRTCKXETXF.6YS6EN2CT7,2.176,US East (Ohio),Compute optimized,64,c6g.metal,128.0,EBS only,25 Gigabit,Linux,Compute Optimized,Linux,NA,No License required
320,HTS9V26TJCMHM6PT.JRTCKXETXF.6YS6EN2CT7,7.152,US East (Ohio),Memory optimized,96,r5n.24xlarge,768.0,EBS only,100 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
321,JBG5HJPZ5JX78YQX.JRTCKXETXF.6YS6EN2CT7,0.8064,US East (Ohio),Compute optimized,16,c6id.4xlarge,32.0,1 x 950 SSD,Up to 12500 Megabit,Linux,Compute Optimized,Linux,NA,No License required
322,JCJT9ETR764XHRVY.JRTCKXETXF.6YS6EN2CT7,5.712,US East (Ohio),General purpose,96,m5n.metal,384.0,EBS only,100 Gigabit,Linux,General Purpose,Linux,NA,No License required
323,JTMEBXHMXFMQ74R4.JRTCKXETXF.6YS6EN2CT7,3.456,US East (Ohio),Compute optimized,72,c5d.18xlarge,144.0,2 x 900 NVMe SSD,25 Gigabit,Linux,Compute Optimized,Linux,NA,No License required
324,K3CQZUZRGKSJBPQT.JRTCKXETXF.6YS6EN2CT7,6.669,US East (Ohio),Memory optimized,32,x2iedn.8xlarge,1024.0,1 x 950 NVMe SSD,25 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
325,K62547TQ4K76P2B4.JRTCKXETXF.6YS6EN2CT7,0.344,US East (Ohio),Compute optimized,8,c5ad.2xlarge,16.0,1 x 300 NVMe SSD,Up to 10 Gigabit,Linux,Compute Optimized,Linux,NA,No License required
326,K9J99HMHVPUNX2CZ.JRTCKXETXF.6YS6EN2CT7,5.09184,US East (Ohio),General purpose,64,m6idn.16xlarge,256.0,2 x 1900 SSD,100000 Megabit,Linux,General Purpose,Linux,NA,No License required
327,KAVVP92AUFQ8THXH.JRTCKXETXF.6YS6EN2CT7,2.176,US East (Ohio),GPU instance,32,g4dn.8xlarge,128.0,900 GB NVMe SSD,50 Gigabit,Linux,Accelerated Computing,Linux,NA,No License required
328,KEJS5UBANESEVV9E.JRTCKXETXF.6YS6EN2CT7,0.0385,US East (Ohio),General purpose,1,m6g.medium,4.0,EBS only,Up to 10 Gigabit,Linux,General Purpose,Linux,NA,No License required
329,K6BJWVVVK236W9NR.JRTCKXETXF.6YS6EN2CT7,0.17,US East (Ohio),Compute optimized,4,c6i.xlarge,8.0,EBS only,Up to 12500 Megabit,Linux,Compute Optimized,Linux,NA,No License required
330,K93KAQNK2VPH463A.JRTCKXETXF.6YS6EN2CT7,2.22768,US East (Ohio),General purpose,32,m6in.8xlarge,128.0,EBS only,50000 Megabit,Linux,General Purpose,Linux,NA,No License required
331,K9GYJE2SH9E2XVKT.JRTCKXETXF.6YS6EN2CT7,0.0452,US East (Ohio),General purpose,1,m6gd.medium,4.0,1 x 59 NVMe SSD,Up to 10 Gigabit,Linux,General Purpose,Linux,NA,No License required
332,KFXYGRFS6FWMA8DJ.JRTCKXETXF.6YS6EN2CT7,0.8568,US East (Ohio),Memory optimized,16,r7g.4xlarge,128.0,EBS only,Up to 15 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
333,KH24ZCVEYVCZXYYY.JRTCKXETXF.6YS6EN2CT7,4.896,US East (Ohio),Compute optimized,128,c6a.32xlarge,256.0,EBS only,50000 Megabit,Linux,Compute Optimized,Linux,NA,No License required
334,HKSDXF2TWQ59M4GV.JRTCKXETXF.6YS6EN2CT7,1.8432,US East (Ohio),Memory optimized,32,r6gd.8xlarge,256.0,1 x 1900 NVMe SSD,10 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
335,HZEP38M3298TZXMF.JRTCKXETXF.6YS6EN2CT7,4.68936,US East (Ohio),Memory optimized,48,r6idn.12xlarge,384.0,2 x 1425 SSD,75000 Megabit,Linux,Memory Optimized,Linux,NA,No License required
336,J27KHQAA9SF8KXQX.JRTCKXETXF.6YS6EN2CT7,3.2256,US East (Ohio),Memory optimized,64,r6g.metal,512.0,EBS only,25 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
337,J2Q4P3MW4SHJ8UU5.JRTCKXETXF.6YS6EN2CT7,0.9492,US East (Ohio),General purpose,16,m6id.4xlarge,64.0,1 x 950 SSD,Up to 12500 Megabit,Linux,General Purpose,Linux,NA,No License required
338,J3ASENPUVKBMMQG3.JRTCKXETXF.6YS6EN2CT7,0.156,US East (Ohio),Storage optimized,2,i3.large,15.25,1 x 475 NVMe SSD,Up to 10 Gigabit,Linux,Storage Optimized,Linux,NA,No License required
